ga:eventCategory	ga:eventLabel	ga:eventAction	ga:date	ga:eventValue
mmViewProblem	1101	16359: BannerRegistration	20150304	81795
mmViewProblem	1957	16359: BannerRegistration	20150305	16359
mmViewProblem	AlvaroF	16359: BannerRegistration	20150302	16359
mmViewProblem	AnandVeeramani	16359: BannerRegistration	20150304	16359
mmViewProblem	AnandVeeramani	16359: BannerRegistration	20150305	32718
mmViewProblem	AndyFang	16359: BannerRegistration	20150304	49077
mmViewProblem	ArteVisual	16359: BannerRegistration	20150304	16359
mmViewProblem	Avitella	16359: BannerRegistration	20150304	32718
mmViewProblem	Avitella	16359: BannerRegistration	20150305	16359
mmViewProblem	Ayaka.Kondo	16359: BannerRegistration	20150303	16359
mmViewProblem	Bankevich	16359: BannerRegistration	20150305	32718
mmViewProblem	Bargash	16359: BannerRegistration	20150305	32718
mmViewProblem	BitRoyal	16359: BannerRegistration	20150303	16359
mmViewProblem	Braddy	16359: BannerRegistration	20150303	32718
mmViewProblem	Breusov	16359: BannerRegistration	20150304	16359
mmViewProblem	CatalinT	16359: BannerRegistration	20150302	32718
mmViewProblem	Chikov2	16359: BannerRegistration	20150304	16359
mmViewProblem	ComputerGenie	16359: BannerRegistration	20150305	32718
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150304	16359
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150305	16359
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150306	16359
mmViewProblem	DHEERAJSONI	16359: BannerRegistration	20150302	16359
mmViewProblem	DKivaRAM	16359: BannerRegistration	20150304	16359
mmViewProblem	DaviP	16359: BannerRegistration	20150305	32718
mmViewProblem	DesertStorm	16359: BannerRegistration	20150304	49077
mmViewProblem	DrWhatsisname	16359: BannerRegistration	20150305	65436
mmViewProblem	EdinDzanic	16359: BannerRegistration	20150302	32718
mmViewProblem	Engnabilfawzy	16359: BannerRegistration	20150305	32718
mmViewProblem	Euniceadu	16359: BannerRegistration	20150303	32718
mmViewProblem	F.L.K	16359: BannerRegistration	20150302	16359
mmViewProblem	F.L.K	16359: BannerRegistration	20150303	114513
mmViewProblem	F.L.K	16359: BannerRegistration	20150305	32718
mmViewProblem	Fdg	16359: BannerRegistration	20150305	32718
mmViewProblem	Geronis	16359: BannerRegistration	20150302	16359
mmViewProblem	GoogleHireMe	16359: BannerRegistration	20150305	32718
mmViewProblem	Gordak	16359: BannerRegistration	20150303	16359
mmViewProblem	Gradient12	16359: BannerRegistration	20150303	16359
mmViewProblem	GrantRVD	16359: BannerRegistration	20150304	16359
mmViewProblem	GrantRVD	16359: BannerRegistration	20150305	65436
mmViewProblem	Hans_G_Krosing	16359: BannerRegistration	20150304	16359
mmViewProblem	IoanMPopdan	16359: BannerRegistration	20150305	16359
mmViewProblem	Irioth	16359: BannerRegistration	20150303	65436
mmViewProblem	IronLordByron	16359: BannerRegistration	20150303	32718
mmViewProblem	Ironhawks	16359: BannerRegistration	20150303	81795
mmViewProblem	Ironhawks	16359: BannerRegistration	20150304	16359
mmViewProblem	Ironhawks	16359: BannerRegistration	20150305	65436
mmViewProblem	JK24	16359: BannerRegistration	20150303	163590
mmViewProblem	JRSSKumarD	16359: BannerRegistration	20150304	16359
mmViewProblem	JRSSKumarD	16359: BannerRegistration	20150305	114513
mmViewProblem	JRSSKumarD	16359: BannerRegistration	20150306	32718
mmViewProblem	Jake1164	16359: BannerRegistration	20150303	32718
mmViewProblem	JavaLinker	16359: BannerRegistration	20150305	32718
mmViewProblem	Jodles	16359: BannerRegistration	20150305	16359
mmViewProblem	Johan.de.Ruiter	16359: BannerRegistration	20150302	32718
mmViewProblem	Jose_Linares	16359: BannerRegistration	20150302	16359
mmViewProblem	Joupa	16359: BannerRegistration	20150305	16359
mmViewProblem	Kamina	16359: BannerRegistration	20150303	16359
mmViewProblem	KanchanLuitel	16359: BannerRegistration	20150304	16359
