V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Thank you for your interest in /  the Banner challenge. As part of the registration process we will...,Please enter your Topcoder handle,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Gender,Age,Highest academic degree achieved,What is your most preferred programming language?,Please enter your current employment/academic status,Please select the country in which you were born ,In which timezone you will reside during this competition,"Rate your willingness to take risks in general (from 1 /  ""unwilling"" to 10 ""completely willing""):","The / submission phase for Banner begins March 08. Looking / ahead a week, how many / hours do you fore...-The 1st and 2nd day of the submission phase-An integer from 0 to 48 hours","The / submission phase for Banner begins March 08. Looking / ahead a week, how many / hours do you fore...-The 3rd and 4th day of the submission phase-An integer from 0 to 48 hours","The / submission phase for Banner begins March 08. Looking / ahead a week, how many / hours do you fore...-The 5th and 6th day of the submission phase-An integer from 0 to 48 hours","The / submission phase for Banner begins March 08. Looking / ahead a week, how many / hours do you fore...-The 7th and 8th day of the submission phase-An integer from 0 to 48 hours",LocationLatitude,LocationLongitude,LocationAccuracy,
R_3LdsMl6UkKUwBx5,Default Response Set,Anonymous,,,,1,2015-03-01 18:32:09,2015-03-01 18:33:46,1,1,ablasco,Safari,8.0.3,Macintosh,1280x800,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Male,26-30 years,High School,Java,,AE - United Arab Emirates,"-5,(GMT-05:00) Eastern Time (US &amp; Canada)",5,,,,,42.32209777832,-71.133399963379,-1,
R_1ja211yluqpscXH,Default Response Set,Anonymous,,,71.232.157.45,0,2015-03-01 18:46:04,2015-03-01 18:46:43,1,1,ablasco,Safari,8.0.3,Macintosh,1280x800,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Male,26-30 years,Undergraduate/Bachelor's degree,Java,aaa,AI - Anguilla,"-7,(GMT-07:00) Arizona",6,12,23,1,1,42.32209777832,-71.133399963379,-1,
R_3k4WatD3NqPKQpF,Default Response Set,Anonymous,,,71.232.157.45,0,2015-03-02 11:43:28,2015-03-02 11:44:18,1,1,ablasco,Safari,8.0.3,Macintosh,1280x800,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Male,26-30 years,Doctorate/PhD,Java,,AL - Albania,"-9,(GMT-09:00) Alaska",5,23,12,2,0,42.32209777832,-71.133399963379,-1,
R_3JqqD90v8tz0nTt,Default Response Set,Anonymous,,,123.114.90.193,0,2015-03-02 12:27:39,2015-03-02 12:30:18,1,1,nhzp339,Firefox,36.0,Windows NT 6.1,1536x864,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0,Male,31-40 years,Undergraduate/Bachelor's degree,C++,freelancer,CN - China,"8,(GMT+08:00) Beijing",4,2,2,5,10,39.928894042969,116.38830566406,-1,
R_1MVZVjuDluxziKR,Default Response Set,Anonymous,,,123.114.90.193,8,2015-03-02 12:30:46,2015-03-02 12:31:38,1,1,nhzp339,Firefox,36.0,Windows NT 6.1,1536x864,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0,Male,31-40 years,Undergraduate/Bachelor's degree,C++,freelancer,CN - China,"8,(GMT+08:00) Beijing",4,2,2,5,10,39.928894042969,116.38830566406,-1,
R_3fuBTloQR51IkM7,Default Response Set,Anonymous,,,129.123.197.35,0,2015-03-02 12:43:11,2015-03-02 12:45:31,1,1,cheaps,Firefox,35.0,Windows NT 6.3,1920x1200,16.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Full Time Work/Part-time Masters,US - United States,"-7,(GMT-07:00) Mountain Time (US &amp; Canada)",4,5,5,5,7,41.641204833984,-111.89659881592,-1,
R_1MQZqSU8gOQ8pQn,Default Response Set,Anonymous,,,78.56.35.77,0,2015-03-02 13:04:23,2015-03-02 13:06:06,1,1,limed,Chrome,40.0.2214.115,Windows NT 6.1,1920x1200,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,Postgraduate/Master of arts,Other,contractor,LT - Lithuania,"2,(GMT+02:00) Vilnius",4,3,3,3,3,54.683303833008,25.316696166992,-1,
R_SV6giPXczOUvRXr,Default Response Set,Anonymous,,,87.207.228.147,0,2015-03-02 13:03:59,2015-03-02 13:07:14,1,1,miguel_clean,Chrome,37.0.2062.120,Linux x86_64,1280x1024,14.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36",Male,31-40 years,Postgraduate/Master of arts,C++,unemployed,PL - Poland,"1,(GMT+01:00) Warsaw",5,16,10,10,16,52.25,21,-1,
R_3snWur4LAtNIOFq,Default Response Set,Anonymous,,,89.72.232.198,0,2015-03-02 13:02:21,2015-03-02 13:07:20,1,1,Psyho,Firefox,35.0,Windows NT 6.1,1920x1080,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Undergraduate/Bachelor's degree,C++,freelancer,PL - Poland,"1,(GMT+01:00) Warsaw",5,2,2,2,2,52.25,21,-1,
