"","handle","mm_rating","mm_events","mm_reg","algo_rating","algo_events","algo_reg","country","payments","days_as_member","gender","school","treatment","room_size","room_id","mm_rating_imputed","age","educ","prlang","risk","submission","score.prov.max","score.sys.max"
"1","_Kevin",0.284714548802947,1,3,0,0,0,"United States",0,40.1120601851852,"Male","No school","tournament","Large","2F",FALSE,"31-40 years","Undergraduate/Bachelor's degree","Other","7",0,0,0
"2","_Romka_",0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",4,0.80260362,0.8040385
"3","1101",0.110128913443831,0,5,1087,175,187,"Ireland",0,4171.47815972222,"Male","No school","target","Large","3H",TRUE,"31-40 years","Doctorate/PhD","Java","6",0,0,0
"4","112atn323",0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",21,0.80822711,0.8071429
"5","1957",0.61731123388582,0,2,949,7,9,"China",300,1599.9162962963,"Male","Some school","target","Large","3E",TRUE,NA,NA,NA,NA,0,0,0
"6","a9108tc",0.548802946593002,13,30,2774,40,44,"China",55192.88,2387.70224537037,"Male","Some school","tournament","Small","2A",FALSE,NA,NA,NA,"4",2,0.80850902,0.7983725
"7","aakinola",0.209208103130755,0,12,0,0,0,"South Africa",0,728.599988425926,"Male","No school","race","Small","1A",TRUE,"31-40 years","Undergraduate/Bachelor's degree","Java","8",0,0,0
"8","abundrew",0.430570902394107,17,31,1019,16,18,"United States",3000,1789.20969907407,"Male","No school","target","Small","3C",FALSE,"51 years and above","Postgraduate/Master of arts","C#","4",0,0,0
"9","adk90",0.219152854511971,0,3,0,0,1,"India",0,124.067025462963,"Male","No school","tournament","Small","2D",TRUE,"26-30 years","Postgraduate/Master of arts","Java",NA,0,0,0
"10","ahoenig",0.367955801104972,3,14,1426,41,42,"United States",724.85,4557.65861111111,"Male","No school","tournament","Small","2D",FALSE,"41-50 years","Undergraduate/Bachelor's degree","C#","6",0,0,0
"11","ainu7",0.905709023941068,29,57,2880,282,306,"South Korea",87266.5,3113.94721064815,"Male","No school","tournament","Small","2B",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C++","6",20,0.81201321,0.7990741
"12","air13",0.184162062615101,9,14,1301,4,11,"China",0,1000.01666666667,"Male","Some school","target","Large","3E",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","7",0,0,0
"13","al_gol",0.316022099447514,5,9,953,28,30,"Belarus",3000,1387.40127314815,"Male","Some school","tournament","Small","2C",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C#","7",21,0.79408493,0.7802401
"14","alazyrabbit",0.19926335174954,4,12,1344,23,30,"China",40,1854.9778125,"Male","Some school","race","Small","1D",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Python","8",0,0,0
"15","alecn2002",0.205156537753223,39,79,1005,66,72,"Russia",5612,3245.61605324074,"Male","No school","tournament","Large","2F",FALSE,"41-50 years","Postgraduate/Master of arts","C++","3",0,0,0
"16","alex90",0.404051565377532,2,7,1552,33,41,"Spain",1000,1576.71314814815,"Male","Some school","target","Large","3F",FALSE,"20-25 years old","Postgraduate/Master of arts","C++","6",0,0,0
"17","alexpeptan",0.429097605893186,0,3,972,22,25,"Romania",0,420.888912037037,"Male","No school","target","Large","3G",TRUE,"26-30 years","Postgraduate/Master of arts","Java","8",0,0,0
"18","alinionut.popa",0.465930018416206,0,3,773,6,9,"Romania",0,278.822395833333,"Male","No school","race","Large","1F",TRUE,"26-30 years","Postgraduate/Master of arts","Java","7",0,0,0
"19","all_random",0.476243093922652,1,3,0,0,1,"Viet Nam",0,75.6527199074074,"Male","No school","race","Large","1E",FALSE,"26-30 years","Doctorate/PhD","C++","1-unwilling",118,0.8160386,0.8192668
"20","an_ant",0.162062615101289,2,33,1205,20,20,"Croatia",2305,2056.26688657407,"Male","Some school","race","Large","1E",FALSE,"26-30 years","Postgraduate/Master of arts","C++","7",0,0,0
"21","AnandVeeramani",0.45377532228361,4,40,1044,23,26,"India",700,1155.98396990741,"Male","No school","race","Small","1C",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Other","6",0,0,0
"22","ananthhh",0.191896869244936,1,6,0,0,1,"India",98158.47,395.426041666667,"Male","No school","target","Small","3C",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Java","7",0,0,0
"23","andresduque",0.505709023941068,24,52,562,9,10,"Colombia",102197.89,2101.31819444444,"Male","No school","target","Large","3E",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Java","7",0,0,0
"24","AndyFang",0.593738489871087,2,11,2148,26,32,"China",4888,2756.94005787037,"Male","Some school","target","Large","3H",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","5",0,0,0
"25","antoshkaplus",0.361694290976059,8,17,962,13,14,"United States",300,1469.51472222222,"Male","Some school","tournament","Small","2D",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","10-completely willing",0,0,0
"26","antslag",0.304972375690608,3,10,989,29,34,"Russia",300,881.838900462963,"Male","No school","target","Small","3C",FALSE,"26-30 years","Postgraduate/Master of arts","C++","5",0,0,0
"27","aropan",0.384898710865562,5,15,2180,119,135,"Belarus",1000,2647.51954861111,"Male","Some school","target","Large","3G",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","5",0,0,0
"28","ascii892",0.463351749539595,4,6,762,1,1,"United Kingdom",0,1636.35096064815,"Male","Some school","race","Small","1B",FALSE,"26-30 years","Postgraduate/Master of arts","C++","3",0,0,0
"29","ashersyed",0.157274401473296,8,54,440,5,5,"Mexico",450,3253.94677083333,"Male","No school","tournament","Large","2H",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C#","8",1,0.79408493,0.7802401
"30","aswmtjdsj",0.16390423572744,1,7,1249,32,36,"China",2630,1794.58180555556,"Male","Some school","target","Large","3E",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","9",2,0.80845041,0.7948124
"31","atmosphere",0.397421731123389,1,3,0,0,0,"Canada",0,3276.7341087963,"Male","Some school","race","Large","1E",FALSE,"26-30 years","Postgraduate/Master of arts","Java","8",13,0.81221324,0.7992297
"32","Avitella",0.0390423572744015,0,2,1339,4,4,"Russia",0,1048.40943287037,"Male","Some school","race","Small","1B",TRUE,NA,NA,NA,NA,0,0,0
"33","azneye",0.197053406998158,19,37,2102,115,128,"Canada",200,1248.15972222222,"Male","Some school","tournament","Large","2F",FALSE,"<20 years old","High School","C++","5",1,0.79408493,0.7802401
"34","azukun",0.452670349907919,7,16,1858,46,57,"Russia",187960.04,2297.09652777778,"Male","Some school","target","Large","3E",FALSE,"26-30 years","Postgraduate/Master of arts","C#","9",0,0,0
