"","handle","score.sys","score.prov","timestamp","submission_id","mm_rating","mm_events","mm_reg","algo_rating","algo_events","algo_reg","country","payments","days_as_member","gender","school","treatment","room_size","room_id","mm_rating_imputed","age","educ","prlang","risk","odds.sys","odds.prov"
"1","_Romka_",0.7864345,0.79704465,2015-03-08 13:35:29,1,0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",0.820049997836345,0.874562836061914
"2","_Romka_",0.7940215,0.79362319,2015-03-08 15:42:57,2,0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",0.858458375864915,0.856371736986286
"3","_Romka_",0.8040385,0.80260362,2015-03-08 17:45:03,3,0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",0.913723849817203,0.905463194248204
"4","_Romka_",0.7857143,0.79468476,2015-03-09 04:46:49,4,0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",0.816545403929962,0.861950981896725
"5","112atn323",0.7701923,0.78111367,2015-03-14 07:53:00,1,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.746351599042026,0.794702300173646
"6","112atn323",0.7928669,0.7993725,2015-03-14 07:58:35,2,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.852431822197179,0.887294140344261
"7","112atn323",0.7487876,0.74168039,2015-03-14 08:04:35,3,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.663783484437615,0.639393609673803
"8","112atn323",0.7851388,0.7629239,2015-03-14 08:38:52,4,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.813761828385357,0.716642099197001
"9","112atn323",0.7572362,0.72230801,2015-03-14 09:06:24,5,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.69463444003378,0.579252543678036
"10","112atn323",0.7942272,0.79421352,2015-03-14 11:58:50,6,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.859539145923878,0.859467202655651
"11","112atn323",0.7867612,0.79064471,2015-03-14 22:19:47,7,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.82164757071525,0.841019957440098
"12","112atn323",0.7842566,0.79204191,2015-03-15 06:44:47,8,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.809523638514808,0.84816669261098
"13","112atn323",0.7676266,0.78361867,2015-03-15 10:04:31,9,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.735652092296105,0.806480479872824
"14","112atn323",0.7990847,0.79679426,2015-03-16 10:23:25,10,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.885704143767487,0.873210796573282
"15","112atn323",0.8019802,0.80783306,2015-03-16 10:43:38,11,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.901911449061053,0.93616374716626
"16","112atn323",0.8017937,0.80822711,2015-03-16 11:00:03,12,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.900853263976997,0.938544938621723
"17","112atn323",0.8071429,0.80822711,2015-03-16 11:05:13,13,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.932016648674603,0.938544938621723
"18","112atn323",0.7788751,0.77143714,2015-03-16 11:10:20,14,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.784402631328143,0.751629389800735
"19","112atn323",0.7947368,0.77922706,2015-03-16 11:15:34,15,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.862225969981966,0.786008162307082
"20","112atn323",0.7950856,0.78306319,2015-03-16 11:23:24,16,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.864072693048148,0.803845215063337
"21","112atn323",0.8049756,0.79661172,2015-03-16 11:29:01,17,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.919184383667231,0.872227227142335
"22","112atn323",0.7912886,0.80069785,2015-03-16 11:36:48,18,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.844301593696469,0.894675510907764
"23","112atn323",0.8060633,0.79416827,2015-03-16 11:41:58,19,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.925588645037401,0.859229300546663
"24","112atn323",0.8066101,0.79302516,2015-03-16 11:47:32,20,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.928835355697682,0.853253900095401
"25","112atn323",0.8071429,0.80822711,2015-03-16 11:59:08,21,0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",0.932016648674603,0.938544938621723
"26","a9108tc",0.7928669,0.7993725,2015-03-14 10:22:59,1,0.548802946593002,13,30,2774,40,44,"China",55192.88,2387.70224537037,"Male","Some school","tournament","Small","2A",FALSE,NA,NA,NA,"4",0.852431822197179,0.887294140344261
"27","a9108tc",0.7983725,0.80850902,2015-03-16 00:21:39,2,0.548802946593002,13,30,2774,40,44,"China",55192.88,2387.70224537037,"Male","Some school","tournament","Small","2A",FALSE,NA,NA,NA,"4",0.881788996836948,0.940254496536901
"28","ainu7",0.7928669,0.7993725,2015-03-14 08:00:43,1,0.905709023941068,29,57,2880,282,306,"South Korea",87266.5,3113.94721064815,"Male","No school","tournament","Small","2B",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C++","6",0.852431822197179,0.887294140344261
"29","ainu7",0.7928669,0.7993725,2015-03-14 21:11:55,2,0.905709023941068,29,57,2880,282,306,"South Korea",87266.5,3113.94721064815,"Male","No school","tournament","Small","2B",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C++","6",0.852431822197179,0.887294140344261
