Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
zhengqiang,1380,10,101,7.75,9,0,0,1,,,271,1003,1380,,HMS Challenge #2,3/8/2012,279,0,,0
xhae,1063,1,119,2,119,0,0,0,,,304,1063,1063,,Marathon Match 82,12/6/2013,279,0,,0
m_dz,1015,2,272,5,185,0,0,0,,,312,949,1015,,TCO13 Round 1,3/27/2013,279,0,,0
DuXSerbia,1212,3,96,9.333333333,43,0,0,0,,,316,1212,1289,,Marathon Match 82,12/6/2013,279,0,,0
koyumeishi,,,,,,0,0,0,,,,,,,,,279,0,,0
aakinola,,,,,,0,0,0,,,,,,,,,279,0,,0
bluenet,959,12,48.33333333,2,13,0,0,0,214,23.2975,358,959,1173,23,Child Stuntedness 5,2/19/2015,279,26,1,1
dimonica,,,,,,0,0,0,,,,,,,,,279,0,,0
kubapb,1191,5,45.4,24.4,28,0,0,0,130,53.405,332,1060,1345,11,Marathon Match 86,2/23/2015,279,16,,0
_Romka_,1805,6,50.5,6.833333333,14,0,0,0,,,321,1517,1805,,TCO14 Round 2,5/21/2014,279,0,,0
codercat,1410,1,122,5,122,0,0,0,,,385,1410,1410,,ISS Longeron Challenge,1/16/2013,279,0,,0
moriara,,,,,,0,0,0,,,,,,,,,279,0,,0
ascii892,1573,4,33.25,10.75,13,0,0,0,58,79.2115,262,1573,1663,1,Marathon Match 86,2/23/2015,279,5,1,1
Avitella,,,,,,0,0,0,,,,,,,,,279,0,,0
cxz2004,,,,,,0,0,0,,,,,,,,,279,0,,0
mateuszlewko,1413,1,41,6,41,0,0,0,,,385,1413,1413,,Marathon Match 86,2/23/2015,279,0,,0
lejosne,1294,1,18,1,18,0,0,0,101,63.7993,385,1294,1294,10,Facial Emotions,12/9/2014,279,18,,0
harshaneelhg,852,1,52,0,52,0,0,0,236,15.4122,385,852,852,45,Child Stuntedness 5,2/19/2015,279,57,,0
Ritesh_Singh,769,1,101,1,101,0,0,0,,,385,769,769,,Marathon Match 86,2/23/2015,279,0,,0
pedrosorio,1264,7,87.28571429,6.428571429,17,0,0,0,,,311,983,1313,,TCAP 2012,5/16/2012,279,0,,0
petroos,1057,1,24,1,24,0,0,0,168,39.7849,385,1057,1057,13,Facial Emotions,12/9/2014,279,16,,0
Liaksiejka,,,,,,0,0,0,,,,,,,,,279,0,,0
hiro_00,1440,2,38.5,9,15,0,0,0,75,73.1183,324,1440,1536,12,Marathon Match 86,2/23/2015,279,26,,0
zhanghanyuan,,,,,,0,0,0,,,,,,,,,279,0,,0
WTrei,1705,27,31.62962963,18.40740741,4,0,3,6,44,84.2294,360,1234,1705,1,Marathon Match 86,2/23/2015,279,6,1,1
AnandVeeramani,1547,13,39.84615385,15.38461538,3,0,2,3,,,326,1452,1671,,TCO13 Round 3,6/5/2013,279,0,,0
cyril.v,1883,16,36.5,11.5,5,0,3,6,30,89.2473,294,1594,1946,5,Child Stuntedness 5,2/19/2015,279,18,,0
orlovan,1596,1,21,7,21,0,0,0,,,385,1596,1596,,Marathon Match 86,2/23/2015,279,0,,0
yannoj2,,,,,,0,0,0,,,,,,,,,279,0,,0
Psyho,3030,92,22.61956522,21.80434783,1,27,56,64,1,99.6416,364,1527,3071,1,Child Stuntedness 5,2/19/2015,279,16,,0
Mojito1,2322,37,37.54054054,13.91891892,1,2,9,14,10,96.4158,378,1550,2404,2,Child Stuntedness 3,12/4/2014,279,16,,0
Bankevich,853,8,249.125,3,83,0,0,0,235,15.7706,212,853,1177,18,Trip Safety,1/26/2015,279,18,,0
unbing,1121,3,233.6666667,4.666666667,34,0,0,0,,,422,1121,1522,,TCO11 Round 1,4/13/2011,279,0,,0
kit1980,1098,15,64.4,7.2,2,0,1,5,152,45.5197,520,1098,1694,10,Trip Safety,1/26/2015,279,10,,0
alazyrabbit,856,4,160.5,5.5,63,0,0,0,,,560,817,1147,,HMS Challenge #1,1/30/2012,279,0,,0
vss109,,,,,,0,0,0,,,,,,,,,279,0,,0
trylar,,,,,,0,0,0,,,,,,,,,279,0,,0
Taquion,989,1,,0,,0,0,0,201,27.957,385,989,989,1,Child Stuntedness 4,12/23/2014,279,1,,0
jbgeddes3,,,,,,0,0,0,,,,,,,,,279,0,,0
TrePe,1690,34,97.29411765,6.970588235,2,0,1,2,,,228,677,1728,,TCO14 Round 3,6/25/2014,279,0,,0
atmosphere,1394,1,28,4,28,0,0,0,83,70.2509,385,1394,1394,1,Child Stuntedness 5,2/19/2015,279,6,1,1
MIPT_Alex,1758,7,30.71428571,13.85714286,4,0,1,1,38,86.3799,257,1758,1969,2,Trip Safety,1/26/2015,279,18,1,1
Bargash,1089,1,115,4,115,0,0,0,,,385,1089,1089,,MM 12,2/14/2007,279,0,,0
hired777,,,,,,0,0,0,,,,,,,,,279,0,,0
mystic_coder,,,,,,0,0,0,,,,,,,,,279,0,,0
an_ant,755,2,78,0.3333333333,47,0,0,0,,,469,755,1043,,TCO12 Round 2,5/2/2012,279,0,,0
buraksrc,929,2,57.5,6,52,0,0,0,224,19.7133,415,929,1158,1,Child Stuntedness 5,2/19/2015,279,2,,0
yaric_om,1401,4,30.75,22.5,23,0,0,0,81,70.9677,278,1191,1401,5,Child Stuntedness 5,2/19/2015,279,10,,0
Rubanenko,,,,,,0,0,0,,,,,,,,,279,0,,0
