id,subset_id,abstract_id,annotations,tp_1,fp_1,tp_2,fp_2,tp_3,fp_3,tp_4,fp_4,tp_5,fp_5,tp_6,fp_6,tp_7,fp_7,tp_8,fp_8,tp_9,fp_9,tp_10,fp_10,tp_11,fp_11,tp_12,fp_12,tp_13,fp_13,tp_14,fp_14,tp_15,fp_15
0,0,10021355,5,2,1,2,1,2,2,2,1,1,2,2,1,2,3,2,3,2,1,2,2,2,2,2,1,2,1,2,1,2,2
1,0,10024132,16,2,2,1,3,2,0,1,2,2,1,2,2,2,3,2,3,1,3,2,3,2,4,1,2,1,2,1,2,2,3
2,0,10026901,3,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3,0,10026998,15,9,3,9,4,10,6,9,4,8,7,7,3,9,9,9,9,9,4,9,7,9,7,7,2,9,4,9,4,9,7
4,0,10051404,29,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
5,0,1006495,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,0,0,2,0,2,0,1,0,2,0,2,0,2
6,0,10066116,7,6,1,6,2,6,2,6,2,6,1,6,1,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2
7,0,10073175,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8,0,10079216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,10079377,33,9,1,8,2,9,2,8,2,9,1,8,2,9,2,9,2,8,2,9,2,9,2,7,3,9,2,9,2,9,2
10,0,10087311,16,3,1,3,1,2,2,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
11,0,10088036,15,1,4,0,4,2,2,1,4,1,2,1,1,1,4,2,4,0,4,2,4,2,4,1,3,1,4,1,4,2,4
