id,subset_id,abstract_id,annotations,tp_1,fp_1,tp_2,fp_2,tp_3,fp_3,tp_4,fp_4,tp_5,fp_5,tp_6,fp_6,tp_7,fp_7,tp_8,fp_8,tp_9,fp_9,tp_10,fp_10,tp_11,fp_11,tp_12,fp_12,tp_13,fp_13,tp_14,fp_14,tp_15,fp_15,tp_16,fp_16,tp_17,fp_17,tp_18,fp_18,tp_19,fp_19,tp_20,fp_20,tp_21,fp_21,tp_22,fp_22,tp_23,fp_23,tp_24,fp_24,tp_25,fp_25,tp_26,fp_26,tp_27,fp_27
0,0,10021355,5,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,4,2,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,4,1,2
1,0,10024132,16,3,1,3,1,1,2,3,1,3,0,3,0,2,1,3,0,2,0,3,0,3,0,3,0,2,1,2,0,2,1,3,1,2,0,2,1,1,1,2,1,2,1,1,2,1,2,1,0,3,0,1,1,1,2
2,0,10026901,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2
3,0,10026998,15,10,3,10,3,8,4,9,3,9,3,9,4,10,3,9,4,8,4,9,3,8,4,9,3,9,4,7,6,8,5,10,4,9,6,9,5,6,3,8,5,8,3,8,4,8,4,9,7,8,3,8,6,8,4
4,0,10051404,29,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5,0,1006495,1,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6,0,10066116,7,6,2,6,2,6,2,6,1,6,2,6,2,6,2,6,2,6,2,6,2,5,3,6,2,7,1,5,3,6,2,6,2,6,2,6,1,5,0,6,2,6,1,6,2,6,2,6,2,6,1,6,1,6,2
7,0,10073175,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1
8,0,10079216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,10079377,33,9,2,7,4,6,3,7,4,8,3,7,4,7,4,7,4,7,4,8,3,8,3,8,3,8,3,9,2,9,2,7,4,5,3,7,2,5,2,7,2,9,1,6,3,6,4,9,1,8,3,9,1,6,3
