id,subset_id,abstract_id,annotations,tp_1,fp_1,tp_2,fp_2,tp_3,fp_3,tp_4,fp_4,tp_5,fp_5,tp_6,fp_6,tp_7,fp_7,tp_8,fp_8,tp_9,fp_9,tp_10,fp_10,tp_11,fp_11,tp_12,fp_12,tp_13,fp_13,tp_14,fp_14,tp_15,fp_15,tp_16,fp_16,tp_17,fp_17,tp_18,fp_18,tp_19,fp_19,tp_20,fp_20,tp_21,fp_21,tp_22,fp_22,tp_23,fp_23,tp_24,fp_24,tp_25,fp_25,tp_26,fp_26,tp_27,fp_27,tp_28,fp_28,tp_29,fp_29,tp_30,fp_30,tp_31,fp_31,tp_32,fp_32,tp_33,fp_33,tp_34,fp_34,tp_35,fp_35,tp_36,fp_36,tp_37,fp_37,tp_38,fp_38,tp_39,fp_39,tp_40,fp_40,tp_41,fp_41,tp_42,fp_42,tp_43,fp_43,tp_44,fp_44,tp_45,fp_45,tp_46,fp_46,tp_47,fp_47,tp_48,fp_48,tp_49,fp_49,tp_50,fp_50,tp_51,fp_51,tp_52,fp_52,tp_53,fp_53,tp_54,fp_54,tp_55,fp_55,tp_56,fp_56
0,0,10021355,5,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,3,1,3,2,1,1,2,2,2,1,4,1,8,1,5,1,4,2,1,3,4,2,1,2,2,2,1,1,4,2,3,2,1,2,2,2,6,2,1,2,2,1,6,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,5,1,4,2,1,2,1,2,2,2,1,2,2,1,4,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2
1,0,10024132,16,3,1,1,0,2,2,2,2,2,1,2,1,2,1,1,3,1,2,2,2,1,3,1,3,1,0,2,10,1,1,1,0,3,1,4,1,3,1,3,4,3,2,1,0,1,0,3,1,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,3,0,3,1,2,4,3,1,3,1,3,1,1,0,3,1,1,2,3,1,1,3,1,3,2,3,1,3,1,3,2,3,1,2,2,3,1,2
2,0,10026901,3,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,2,0,1,0,3,0,1,0,1,0,2,0,3,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3,0,10026998,15,9,3,7,10,9,3,8,4,7,6,7,6,7,6,7,3,7,2,9,5,8,5,9,4,6,9,9,21,8,14,6,8,9,3,14,6,9,4,10,13,9,5,7,7,9,7,10,6,9,6,9,12,9,7,9,7,9,9,9,8,9,5,9,8,9,7,9,7,9,7,9,7,9,7,9,3,9,3,8,12,9,7,9,3,9,3,7,10,9,3,10,3,9,7,9,5,8,3,8,4,8,5,9,3,9,3,10,3,8,3,10,3
4,0,10051404,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5,0,1006495,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,2,0,3,0,2,0,2,0,2,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
6,0,10066116,7,6,2,6,1,6,1,6,1,5,2,5,2,5,2,6,1,6,1,6,1,6,1,6,2,6,1,6,5,6,1,6,1,6,2,10,3,6,2,6,3,6,2,6,1,6,2,6,2,6,2,6,2,6,2,6,2,6,3,6,2,6,2,6,2,6,2,6,2,6,2,6,3,6,3,7,1,6,2,6,2,6,2,6,2,6,2,6,1,6,2,6,1,6,2,6,2,6,1,6,1,6,1,6,1,6,2,6,1,6,2,6,1
7,0,10073175,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8,0,10079216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,10079377,33,7,4,6,4,8,2,8,2,8,2,8,2,8,2,8,2,9,1,9,1,7,3,8,2,8,3,9,11,8,4,8,2,7,4,11,5,7,4,7,5,7,4,9,4,9,4,7,4,8,4,9,5,6,4,7,3,7,4,7,3,7,3,7,3,6,4,6,4,6,4,6,4,6,4,8,3,7,4,7,3,9,2,7,4,7,4,6,4,7,4,8,2,9,2,8,2,8,2,9,1,9,1,8,2,9,1,8,2,9,1,8,2
