id,subset_id,abstract_id,annotations,tp_1,fp_1,tp_2,fp_2,tp_3,fp_3
0,0,10021355,5,2,3,2,3,2,3
1,0,10024132,16,2,3,1,5,2,3
2,0,10026901,3,0,2,0,2,0,2
3,0,10026998,15,9,6,9,6,9,6
4,0,10051404,29,0,1,0,1,0,1
5,0,1006495,1,0,3,0,3,0,3
6,0,10066116,7,6,2,6,2,6,2
7,0,10073175,1,0,1,0,1,0,1
8,0,10079216,2,0,0,0,0,0,0
9,0,10079377,33,5,5,8,3,5,5
10,0,10087311,16,3,1,3,1,3,1
11,0,10088036,15,1,6,1,6,1,6
12,0,10090912,4,0,2,0,2,0,2
13,0,10094187,31,8,3,8,3,8,3
14,0,10096267,2,0,1,0,1,0,1
15,0,10096572,45,5,8,4,7,5,8
16,0,10163945,2,0,0,0,0,0,0
17,0,1018862,2,0,2,0,2,0,2
18,0,10192392,39,12,5,13,5,12,5
19,0,10192449,18,4,2,4,3,4,2
20,0,10198162,36,1,0,0,0,1,0
21,0,10201372,33,8,7,8,5,8,7
22,2,8622978,5,4,3,4,3,4,3
23,0,10201489,19,14,2,15,2,14,2
24,0,10205276,13,0,1,0,1,0,1
25,0,10205292,27,13,5,13,7,13,5
26,0,10208494,19,1,1,2,2,1,1
27,0,10213052,2,0,2,0,2,0,2
28,0,10216143,19,7,4,7,4,7,4
29,0,10217372,23,0,3,0,8,0,3
30,0,10226013,18,1,2,1,4,1,2
31,0,10227401,18,6,1,6,2,6,1
32,3,9674903,15,12,6,12,4,12,6
34,0,10232754,14,2,1,0,4,2,1
35,2,8812423,6,5,2,4,3,5,2
36,0,1024615,1,0,0,0,0,0,0
37,0,1025283,1,0,1,0,1,0,1
38,1,15503005,12,9,2,8,1,9,2
39,0,1029569,1,0,2,0,2,0,2
40,0,10319852,5,0,2,0,2,0,2
41,0,10320415,16,8,9,8,9,8,9
42,0,10321595,30,9,5,8,8,9,5
43,0,10323316,18,7,5,7,5,7,5
44,0,10323739,25,2,5,4,6,2,5
45,0,10328134,2,0,1,0,1,0,1
46,0,10331745,12,1,4,2,4,1,4
47,0,10334471,17,5,4,5,4,5,4
48,0,10341340,21,3,4,3,4,3,4
49,0,10344735,14,2,1,2,1,2,1
50,0,10344759,21,2,2,2,2,2,2
51,0,10347554,11,8,2,8,2,8,2
52,0,10356659,34,7,1,7,1,7,1
53,0,10357778,24,1,3,1,6,1,3
54,0,10363981,23,8,2,8,2,8,2
55,0,10364509,1,0,1,0,1,0,1
56,0,10364661,4,2,1,2,1,2,1
57,0,10364685,6,0,0,0,0,0,0
58,0,10378396,19,12,7,11,8,12,7
59,0,10382972,12,0,0,0,0,0,0
60,0,10389589,28,10,3,10,3,10,3
61,2,8833159,4,3,1,2,2,3,1
62,0,10390262,46,11,4,11,3,11,4
63,0,10391221,23,9,2,9,2,9,2
64,0,10394930,7,3,2,3,2,3,2
65,0,10401787,22,6,1,6,1,6,1
66,0,10402938,15,4,2,4,2,4,2
67,0,10403071,9,1,5,3,5,1,5
68,0,10407857,14,5,3,5,4,5,3
69,0,10409675,4,2,3,2,4,2,3
70,0,10412366,5,0,2,0,2,0,2
71,0,10416429,27,11,4,12,2,11,4
72,0,10416987,29,8,6,8,6,8,6
73,0,10420196,33,12,1,14,2,12,1
74,0,10422597,4,0,0,0,0,0,0
75,0,10426149,11,4,1,3,1,4,1
76,0,10430665,18,0,1,0,1,0,1
77,0,10434299,29,9,2,11,0,9,2
78,0,10434306,30,6,0,6,0,6,0
79,0,10434678,3,0,2,0,1,0,2
80,0,10435210,38,19,9,18,9,19,9
81,0,10436415,14,11,3,11,3,11,3
82,0,10441667,21,0,1,0,1,0,1
83,0,10443670,16,8,7,7,8,8,7
84,0,10443839,30,4,3,4,2,4,3
85,0,10444591,15,0,0,0,0,0,0
86,3,9360520,7,6,1,7,3,6,1
87,3,9709714,11,10,3,10,3,10,3
88,0,10446964,16,15,1,12,3,15,1
89,0,10449649,11,8,3,6,4,8,3
90,0,10451709,18,5,7,5,9,5,7
91,0,10455421,26,13,3,13,4,13,3
92,1,15598648,11,8,2,8,3,8,2
93,0,10459348,32,6,0,7,0,6,0
94,0,10465117,23,8,7,9,9,8,7
95,0,10475385,14,6,1,6,1,6,1
96,2,9066888,9,6,1,5,2,6,1
97,0,10477176,5,0,1,0,2,0,1
98,0,10477429,15,3,3,4,2,3,3
99,0,10477432,15,6,3,6,3,6,3
100,0,10479724,31,12,5,12,8,12,5
101,1,15670720,15,8,8,7,11,8,8
102,0,10484490,41,0,0,0,0,0,0
103,0,10485139,16,0,6,1,7,0,6
104,0,10486172,5,1,2,0,3,1,2
105,0,10486219,9,3,1,3,2,3,1
106,0,10486460,25,9,7,7,8,9,7
107,0,10490770,31,9,2,11,5,9,2
108,0,10498690,18,0,2,0,3,0,2
109,3,9674906,26,18,4,15,6,18,4
110,0,10498910,17,6,2,6,3,6,2
111,0,10501972,21,0,0,0,0,0,0
112,0,10502316,47,6,4,6,4,6,4
113,0,10503922,9,1,5,1,4,1,5
114,0,10518495,16,1,3,1,4,1,3
115,0,10520451,10,0,0,0,1,0,0
116,0,10524236,25,1,0,0,1,1,0
117,0,10526170,16,1,0,2,0,1,0
118,0,1052762,4,0,0,0,1,0,0
119,0,10529091,43,1,6,1,5,1,6
120,0,10531300,13,2,2,2,2,2,2
121,0,10546097,7,0,5,0,4,0,5
122,0,10548506,9,2,0,2,0,2,0
123,0,10555148,14,2,3,1,4,2,3
124,0,10560487,16,2,12,3,13,2,12
125,0,10563486,2,0,1,0,1,0,1
126,0,10564714,14,4,1,4,3,4,1
127,0,10571034,7,0,1,0,0,0,1
128,2,9271438,10,8,12,8,13,8,12
129,1,15718915,15,11,4,12,3,11,4
130,0,10572108,33,5,2,6,2,5,2
131,0,10575031,12,5,3,5,4,5,3
132,0,10581351,9,1,2,1,2,1,2
133,0,10582710,2,0,1,0,1,0,1
134,0,10585777,35,8,3,9,2,8,3
135,0,10586260,16,3,3,3,3,3,3
136,0,10587579,18,2,4,2,4,2,4
137,0,1059061,2,1,3,1,3,1,3
138,2,9223307,7,7,2,7,2,7,2
139,0,10592751,13,3,0,3,1,3,0
140,0,10594233,15,0,3,0,3,0,3
141,1,15773757,4,4,2,4,3,4,2
142,0,10595246,18,8,6,6,8,8,6
143,0,10601244,33,1,6,0,10,1,6
144,2,8790412,2,2,0,2,0,2,0
145,0,10601645,14,0,0,0,1,0,0
146,0,10611348,10,5,2,6,3,5,2
147,3,9472666,8,4,3,4,2,4,3
148,0,10614055,16,0,0,0,0,0,0
149,0,10626800,27,7,2,5,4,7,2
150,0,10629558,22,4,3,3,4,4,3
151,0,10631132,13,1,4,2,4,1,4
152,0,10636795,2,0,1,0,1,0,1
153,0,10636877,10,1,1,0,3,1,1
154,0,1063733,4,0,0,0,0,0,0
155,0,10638991,11,5,4,5,5,5,4
156,0,10645809,4,0,2,0,2,0,2
157,0,10646887,16,11,5,11,8,11,5
158,0,10647314,5,2,2,1,3,2,2
159,0,10651848,24,8,2,7,4,8,2
160,0,10653325,17,5,4,4,5,5,4
161,2,8956035,3,2,5,2,6,2,5
162,2,8929413,3,0,0,0,1,0,0
163,3,9546397,4,3,0,4,0,3,0
164,0,10657401,2,1,1,1,1,1,1
165,0,10660625,30,0,1,0,1,0,1
166,0,10661763,32,4,2,4,4,4,2
167,0,10666222,13,0,0,0,0,0,0
168,0,10667595,31,8,3,7,4,8,3
169,0,10668499,3,0,1,0,1,0,1
170,2,8621452,5,5,2,5,3,5,2
171,0,10671296,31,0,1,0,0,0,1
172,0,10675033,14,1,1,1,1,1,1
173,0,10677904,3,1,2,1,3,1,2
174,0,10681280,24,3,2,3,1,3,2
176,0,10686547,6,4,7,4,8,4,7
177,0,10690392,20,5,3,5,4,5,3
178,3,9792409,8,6,1,6,2,6,1
179,0,10698503,28,5,6,3,8,5,6
180,0,10698523,24,4,2,3,2,4,2
181,0,10700864,19,1,1,1,1,1,1
182,0,1070872,1,0,1,0,1,0,1
183,0,10716450,6,0,2,0,1,0,2
184,0,10726756,13,1,1,1,1,1,1
185,0,10734141,16,1,0,1,0,1,0
186,0,10737795,30,18,6,20,5,18,6
187,0,10737995,19,11,0,10,1,11,0
188,0,10739235,7,4,2,4,1,4,2
189,0,10743054,15,1,2,1,2,1,2
190,0,10746566,27,9,1,8,3,9,1
191,0,10749147,22,3,2,3,2,3,2
192,0,10754205,22,4,5,4,5,4,5
193,0,10754334,18,9,6,10,5,9,6
194,3,9497246,12,10,2,10,2,10,2
195,0,10755399,18,6,3,6,3,6,3
196,2,8944024,1,1,1,1,1,1,1
197,0,10765513,7,1,2,1,2,1,2
198,0,10765940,14,6,5,4,4,6,5
199,0,10772636,25,0,0,0,0,0,0
200,0,10777668,13,2,1,2,1,2,1
201,0,10781820,15,3,0,3,2,3,0
202,0,10784452,5,4,1,4,1,4,1
203,0,10784639,25,20,3,19,4,20,3
204,0,10785486,15,8,2,7,3,8,2
205,2,8776595,4,4,1,4,1,4,1
206,0,10789928,15,5,9,5,10,5,9
207,0,10791880,13,2,5,2,5,2,5
208,0,10794361,4,0,0,0,0,0,0
209,0,10796875,15,6,3,6,3,6,3
210,0,10801416,33,3,3,3,3,3,3
211,1,15952986,13,8,1,7,2,8,1
212,0,10803459,12,4,1,4,1,4,1
213,0,10811638,18,0,2,0,2,0,2
214,0,10814720,24,6,2,7,2,6,2
215,0,10815696,22,8,1,8,2,8,1
216,1,16020776,2,2,2,2,3,2,2
217,0,10817502,18,5,1,5,1,5,1
218,0,10842288,28,14,3,15,3,14,3
219,0,10842292,11,1,2,1,2,1,2
220,1,16088907,7,4,2,5,1,4,2
221,0,1084239,16,7,6,6,7,7,6
222,0,10847649,7,3,0,3,1,3,0
223,0,10864611,4,1,3,0,3,1,3
224,0,10871843,33,3,5,3,5,3,5
225,0,10880549,2,1,0,1,0,1,0
226,0,10882857,21,16,4,15,5,16,4
227,0,10884071,17,4,3,4,2,4,3
228,0,10886151,9,3,5,2,6,3,5
229,0,10895316,22,2,7,2,9,2,7
230,1,16088929,8,7,1,6,2,7,1
231,0,10895341,8,4,2,4,2,4,2
