ga:eventCategory,ga:eventAction,ga:eventLabel,ga:date,ga:hour,ga:minute,ga:country,ga:totalEvents,ga:uniqueEvents,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16298: ABCSpeedup,17Mayank,20150118,1,24,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,3pideh,20150122,18,20,(not set),1,1,1,1
mmViewProblem,16298: ABCSpeedup,7568852607,20150116,9,45,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AKGP,20150110,17,48,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AMESHI,20150112,15,52,Nigeria,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AMESHI,20150117,9,36,Nigeria,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Abdel-Aziz,20150115,13,39,Egypt,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Abdel-Aziz,20150115,13,43,Egypt,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Abdel-Aziz,20150115,13,49,Egypt,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Abdel-Aziz,20150115,13,52,Egypt,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Abdullah.Arnab,20150115,6,55,Bangladesh,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AbhiZen,20150201,2,16,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Aditya.Chowdhry,20150116,6,8,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Aditya_O_Lee,20150118,5,17,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Afif,20150115,9,19,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Ahmed.32,20150123,4,12,Pakistan,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Alexander.Park,20150112,21,32,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AlexanderL,20150113,1,21,Ukraine,1,1,0,0
mmViewProblem,16298: ABCSpeedup,AlexanderL,20150113,1,25,Ukraine,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Alexey.Serov,20150113,6,14,Russia,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Amit.Chahar,20150115,0,32,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AmrMohamed1996,20150127,11,35,Egypt,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Anas.shami,20150115,5,58,Palestine,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Anas.shami,20150115,6,5,Palestine,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Andrea.Garaj,20150127,19,48,Serbia,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AndyFang,20150109,23,11,China,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AndyFang,20150116,17,38,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,AndyFang,20150116,17,40,United States,2,1,0,0
mmViewProblem,16298: ABCSpeedup,Archak,20150112,14,19,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Arpitha_DR,20150114,2,48,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Arunraja,20150113,11,46,India,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Arunraja,20150113,12,23,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Arunraja,20150117,3,13,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Arunraja,20150125,0,59,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Arvind.Prakash,20150114,5,6,India,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Ayat_Ra,20150125,0,7,Egypt,1,1,1,1
mmViewProblem,16298: ABCSpeedup,BatRoss,20150113,15,10,France,1,1,1,1
mmViewProblem,16298: ABCSpeedup,BatRoss,20150113,15,11,France,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Beskaska,20150112,6,43,Kazakhstan,1,1,1,1
mmViewProblem,16298: ABCSpeedup,BhaGeera,20150117,10,49,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Bima.Wijaya,20150118,4,44,Indonesia,1,1,1,1
mmViewProblem,16298: ABCSpeedup,BlakeWL,20150113,23,1,Hong Kong,1,1,1,1
mmViewProblem,16298: ABCSpeedup,BlakeWL,20150113,23,2,Hong Kong,1,1,0,0
mmViewProblem,16298: ABCSpeedup,Blimp73,20150130,14,38,Austria,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Blimp73,20150130,14,39,Austria,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Blimp73,20150130,14,40,Austria,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Brian.Lau,20150112,4,59,United States,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Burakbb,20150111,0,5,Turkey,1,1,1,1
mmViewProblem,16298: ABCSpeedup,Burakbb,20150111,0,8,Turkey,1,1,1,1
