"handle","treatment_id","room_id","room_type_id","mmrating"
"zhengqiang","race",1,"Small",1380
"DuXSerbia","race",1,"Small",1212
"kubapb","race",1,"Small",1191
"xhae","race",1,"Small",1063
"m_dz","race",1,"Small",1015
"bluenet","race",1,"Small",969
"koyumeishi","race",1,"Small",NA
"dimonica","race",1,"Small",NA
"aakinola","race",1,"Small",NA
"_Romka_","race",2,"Small",1805
"ascii892","race",2,"Small",1660
"mateuszlewko","race",2,"Small",1413
"codercat","race",2,"Small",1410
"lejosne","race",2,"Small",1294
"Ritesh_Singh","race",2,"Small",769
"cxz2004","race",2,"Small",NA
"Avitella","race",2,"Small",NA
"harshaneelhg","race",2,"Small",NA
"moriara","race",2,"Small",NA
"cyril.v","race",3,"Small",1918
"WTrei","race",3,"Small",1705
"orlovan","race",3,"Small",1596
"AnandVeeramani","race",3,"Small",1547
"hiro_00","race",3,"Small",1440
"pedrosorio","race",3,"Small",1264
"petroos","race",3,"Small",1057
"zhanghanyuan","race",3,"Small",NA
"yannoj2","race",3,"Small",NA
"Liaksiejka","race",3,"Small",NA
"Psyho","race",4,"Small",3071
"Mojito1","race",4,"Small",2322
"unbing","race",4,"Small",1121
"kit1980","race",4,"Small",1098
"Taquion","race",4,"Small",989
"alazyrabbit","race",4,"Small",856
"Bankevich","race",4,"Small",853
"trylar","race",4,"Small",NA
"jbgeddes3","race",4,"Small",NA
"vss109","race",4,"Small",NA
"MIPT_Alex","race",5,"Large",1758
"TrePe","race",5,"Large",1690
"all_random","race",5,"Large",1608
"yfalah","race",5,"Large",1328
"yaric_om","race",5,"Large",1313
"buraksrc","race",5,"Large",1158
"Bargash","race",5,"Large",1089
"kpoxa2l","race",5,"Large",1033
"an_ant","race",5,"Large",755
"mystic_coder","race",5,"Large",NA
"Ironhawks","race",5,"Large",NA
"hired777","race",5,"Large",NA
"atmosphere","race",5,"Large",NA
"sakaark","race",5,"Large",NA
"Rubanenko","race",5,"Large",NA
"ecv","race",6,"Large",1927
"Jumping John","race",6,"Large",1841
"Infinity.","race",6,"Large",1472
"haipt81","race",6,"Large",1449
"madbn","race",6,"Large",1442
"Nil_ct","race",6,"Large",1365
"ksma","race",6,"Large",1228
"net_buster","race",6,"Large",1152
"d_jash","race",6,"Large",918
"zizo0003","race",6,"Large",774
"V[i]ctor","race",6,"Large",681
"PaxosMyth","race",6,"Large",NA
"alinionut.popa","race",6,"Large",NA
"sabbathist","race",6,"Large",NA
"RobinWang","race",6,"Large",NA
"halyavin","race",7,"Large",1961
"NobuMiu","race",7,"Large",1786
"marshmallow","race",7,"Large",1750
"jonathanps","race",7,"Large",1519
"bohuss","race",7,"Large",1322
"SePulTribe","race",7,"Large",1192
"mln","race",7,"Large",1083
"sohel_uoa","race",7,"Large",1024
"caustique","race",7,"Large",807
"gondzo","race",7,"Large",658
"bdepwgjqet","race",7,"Large",NA
"Vetteru","race",7,"Large",NA
"ltda","race",7,"Large",NA
"vuchko","race",7,"Large",NA
"windhunterSB","race",7,"Large",NA
"zhanyi658657","race",8,"Large",1977
"brev","race",8,"Large",1895
"Sord","race",8,"Large",1505
"haveri","race",8,"Large",1365
"smudge","race",8,"Large",1308
"sas4eka","race",8,"Large",1200
"chandan047","race",8,"Large",1105
"didi_baga","race",8,"Large",1038
"feather","race",8,"Large",992
"sampathkumarv","race",8,"Large",933
"defh","race",8,"Large",904
"Fdg","race",8,"Large",800
"VArt","race",8,"Large",NA
"codeshubh","race",8,"Large",NA
"dilip.thapa","race",8,"Large",NA
