"handle","treatment_id","room_id","room_type_id","mmrating"
"elder1g","reserve",1,"Small",2308
"danbanica","reserve",1,"Small",1414
"neotheicebird","reserve",1,"Small",1194
"ll931110","reserve",1,"Small",1141
"mcw1142","reserve",1,"Small",971
"neo.subrata","reserve",1,"Small",911
"cup_of_tea","reserve",1,"Small",667
"Orisano","reserve",1,"Small",NA
"shivamsihare","reserve",1,"Small",NA
"Nfcj000","reserve",1,"Small",NA
"EvbCFfp1XB","reserve",2,"Small",1864
"Irioth","reserve",2,"Small",1621
"sweetkang","reserve",2,"Small",1318
"midrux","reserve",2,"Small",1000
"lionelc","reserve",2,"Small",989
"mayoko","reserve",2,"Small",NA
"daga_sumit","reserve",2,"Small",NA
"MahmoudAGawad","reserve",2,"Small",NA
"vidhyabhushanv","reserve",2,"Small",NA
"f1zz0_13","reserve",2,"Small",NA
"112atn323","reserve",3,"Small",1897
"megaterik","reserve",3,"Small",1671
"abundrew","reserve",3,"Small",1484
"ryuwonha","reserve",3,"Small",1297
"antslag","reserve",3,"Small",1143
"ourtake","reserve",3,"Small",1092
"ananthhh","reserve",3,"Small",836
"Mril284","reserve",3,"Small",769
"TahaMahmoud","reserve",3,"Small",NA
"Ra16bit","reserve",3,"Small",NA
"nhzp339","reserve",4,"Small",2718
"OlexandrT","reserve",4,"Small",1597
"shilov","reserve",4,"Small",1432
"moshu","reserve",4,"Small",1366
"smel","reserve",4,"Small",1333
"lipsum","reserve",4,"Small",1168
"gutoo","reserve",4,"Small",1075
"xiakunxian923","reserve",4,"Small",760
"yassine12","reserve",4,"Small",NA
"chicapi","reserve",4,"Small",NA
"not_","reserve",5,"Large",1835
"ynasu","reserve",5,"Large",1797
"andresduque","reserve",5,"Large",1753
"yrtchn","reserve",5,"Large",1621
"azukun","reserve",5,"Large",1544
"Lozy","reserve",5,"Large",1447
"WojciechMigda","reserve",5,"Large",1307
"kossi_tg","reserve",5,"Large",1205
"F.L.K","reserve",5,"Large",1164
"yedtoss","reserve",5,"Large",1043
"air13","reserve",5,"Large",815
"aswmtjdsj","reserve",5,"Large",760
"k_k1","reserve",5,"Large",NA
"nims11","reserve",5,"Large",NA
"1957","reserve",5,"Large",NA
"klo86min","reserve",6,"Large",1939
"marsavic","reserve",6,"Large",1708
"vdave","reserve",6,"Large",1691
"alex90","reserve",6,"Large",1412
"yoshibo-","reserve",6,"Large",1278
"ctrucza","reserve",6,"Large",1064
"Chmel_Tolstiy","reserve",6,"Large",1038
"kamalkishor1991","reserve",6,"Large",1027
"wsobolewski","reserve",6,"Large",996
"GoogleHireMe","reserve",6,"Large",955
"rado42","reserve",6,"Large",891
"jaikamal","reserve",6,"Large",805
"Venug","reserve",6,"Large",NA
"kumar.virakta","reserve",6,"Large",NA
"EgorLakomkin","reserve",6,"Large",NA
"Fed","reserve",7,"Large",1767
"pnomarev","reserve",7,"Large",1566
"szd714","reserve",7,"Large",1481
"jthread","reserve",7,"Large",1454
"aropan","reserve",7,"Large",1360
"pfilippi","reserve",7,"Large",1238
"Visoks","reserve",7,"Large",1097
"mak512","reserve",7,"Large",1033
"fizzicks","reserve",7,"Large",884
"PuffRing","reserve",7,"Large",676
"falanga","reserve",7,"Large",NA
"alexpeptan","reserve",7,"Large",NA
"delabourdonnais","reserve",7,"Large",NA
"Neodym","reserve",7,"Large",NA
"fine_plain","reserve",7,"Large",NA
"pfr","reserve",8,"Large",2380
"AndyFang","reserve",8,"Large",1927
"stzgd","reserve",8,"Large",1399
"brajeshlkw","reserve",8,"Large",1314
"logico14","reserve",8,"Large",1225
"ZLATKO","reserve",8,"Large",1114
"TMALBONPH","reserve",8,"Large",NA
"tau0","reserve",8,"Large",NA
"JK24","reserve",8,"Large",NA
"lizame2012","reserve",8,"Large",NA
"vokie","reserve",8,"Large",NA
"kwrig","reserve",8,"Large",NA
"1101","reserve",8,"Large",NA
"mrmillers","reserve",8,"Large",NA
"knighthunter","reserve",8,"Large",NA
