ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,1101,Ireland,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,1101,Ireland,20150304,6,4,1,65436,16359,0,0
mmViewProblem,16359: BannerRegistration,1957,Japan,20150305,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,AlvaroF,Austria,20150302,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,AnandVeeramani,India,20150304,23,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,AnandVeeramani,India,20150305,0,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,AndyFang,United States,20150304,12,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,ArteVisual,Mexico,20150304,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Avitella,Russia,20150304,18,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,Avitella,Russia,20150305,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Ayaka.Kondo,United States,20150303,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Bankevich,Russia,20150305,5,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,Bargash,Belarus,20150305,4,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,BitRoyal,United States,20150303,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Braddy,Belarus,20150303,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Braddy,Belarus,20150303,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Breusov,Ukraine,20150304,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,CatalinT,Romania,20150302,14,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,Chikov2,United States,20150304,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ComputerGenie,Turkey,20150305,8,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150304,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150305,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150306,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,DHEERAJSONI,India,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,DKivaRAM,India,20150304,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,DaviP,United States,20150305,15,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,DesertStorm,India,20150304,13,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,DrWhatsisname,United States,20150305,10,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,EdinDzanic,Bosnia & Herzegovina,20150302,13,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Engnabilfawzy,Egypt,20150305,10,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Euniceadu,Ghana,20150303,7,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150302,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150303,3,7,2,114513,16359,2,3.5
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150305,21,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Fdg,Ukraine,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Fdg,Ukraine,20150305,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Geronis,Mexico,20150302,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,GoogleHireMe,Ukraine,20150305,3,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Gordak,Switzerland,20150303,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Gradient12,Netherlands,20150303,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,GrantRVD,United States,20150304,15,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,GrantRVD,United States,20150305,12,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,Hans_G_Krosing,Estonia,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,IoanMPopdan,Romania,20150305,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Irioth,Russia,20150303,2,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Irioth,Russia,20150303,9,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,IronLordByron,United States,20150303,1,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150303,23,5,2,81795,16359,2,2.5
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150304,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150305,6,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150305,7,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,JK24,Belarus,20150303,9,10,1,163590,16359,1,10
