ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:pagePath,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent,ga:timeOnPage
mmViewProblem,16359: BannerRegistration,1957,Japan,20150305,1,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,AlvaroF,Austria,20150302,14,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,AndyFang,United States,20150304,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,ArteVisual,Mexico,20150304,22,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Avitella,Russia,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,2,1,0
mmViewProblem,16359: BannerRegistration,Avitella,Russia,20150305,5,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Ayaka.Kondo,United States,20150303,0,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Bankevich,Russia,20150305,5,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,0,0,0
mmViewProblem,16359: BannerRegistration,Bargash,Belarus,20150305,4,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,BitRoyal,United States,20150303,22,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Braddy,Belarus,20150303,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Braddy,Belarus,20150303,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Breusov,Ukraine,20150304,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,CatalinT,Romania,20150302,14,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,2,1,0
mmViewProblem,16359: BannerRegistration,Chikov2,United States,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,ComputerGenie,Turkey,20150305,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,2,1,0
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150304,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150305,14,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,CzarXerxes,Norway,20150306,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,DHEERAJSONI,India,20150302,15,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,DKivaRAM,India,20150304,1,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,DaviP,United States,20150305,15,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,DesertStorm,India,20150304,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,DrWhatsisname,United States,20150305,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,DrWhatsisname,United States,20150305,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,EdinDzanic,Bosnia & Herzegovina,20150302,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Engnabilfawzy,Egypt,20150305,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Euniceadu,Ghana,20150303,7,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150302,20,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
