handle	mmRating	submissionID	submissionDate	ProvisionalScore	ProgramLang
nofto	2296	52	02.18.2015 13:51:09	817883.23	C++
nofto	2296	51	02.18.2015 13:16:50	817365.63	C++
nofto	2296	50	02.18.2015 12:31:25	813911.82	C++
nofto	2296	49	02.18.2015 12:13:18	813081.35	C++
nofto	2296	48	02.18.2015 12:11:39	811268.14	C++
nofto	2296	47	02.18.2015 12:08:58	815154.27	C++
nofto	2296	46	02.18.2015 11:55:45	811296.16	C++
nofto	2296	45	02.18.2015 11:27:21	798968.47	C++
nofto	2296	44	02.18.2015 11:15:59	787046	C++
nofto	2296	43	02.18.2015 11:14:19	799372.5	C++
nofto	2296	42	02.18.2015 10:56:21	792947.85	C++
nofto	2296	41	02.18.2015 08:34:02	805864.99	C++
nofto	2296	40	02.18.2015 08:32:26	806069.96	C++
nofto	2296	39	02.18.2015 08:28:23	803598.99	C++
nofto	2296	38	02.18.2015 08:26:17	806011.35	C++
nofto	2296	37	02.18.2015 08:24:21	807812.18	C++
nofto	2296	36	02.18.2015 08:23:13	807607.06	C++
nofto	2296	35	02.18.2015 08:04:00	716579.19	C++
nofto	2296	34	02.18.2015 08:01:58	711967.98	C++
nofto	2296	33	02.18.2015 07:59:20	713607.23	C++
nofto	2296	32	02.18.2015 07:56:52	705134.55	C++
nofto	2296	31	02.18.2015 07:55:48	718222.3	C++
nofto	2296	30	02.18.2015 07:53:04	719534.89	C++
nofto	2296	29	02.18.2015 06:49:41	719600.61	C++
nofto	2296	28	02.17.2015 18:26:29	806353.35	C++
nofto	2296	27	02.17.2015 18:24:49	805691.59	C++
nofto	2296	26	02.17.2015 18:22:52	807693.67	C++
nofto	2296	25	02.17.2015 18:21:25	802852.29	C++
nofto	2296	24	02.17.2015 18:08:27	795516.63	C++
nofto	2296	23	02.17.2015 18:04:40	806069.96	C++
nofto	2296	22	02.17.2015 18:03:35	805254.1	C++
nofto	2296	21	02.17.2015 18:02:24	807812.18	C++
nofto	2296	20	02.17.2015 17:52:48	806932.47	C++
nofto	2296	19	02.17.2015 17:28:23	783291.35	C++
nofto	2296	18	02.17.2015 17:23:48	784532.55	C++
nofto	2296	17	02.17.2015 17:22:44	782954.82	C++
nofto	2296	16	02.17.2015 17:11:09	718434.08	C++
nofto	2296	15	02.17.2015 17:10:05	785383.62	C++
nofto	2296	14	02.17.2015 17:08:55	120911.81	C++
nofto	2296	13	02.17.2015 17:07:53	292844.52	C++
nofto	2296	12	02.17.2015 13:50:46	708786.89	C++
nofto	2296	11	02.17.2015 13:44:54	709091.46	C++
nofto	2296	10	02.17.2015 11:29:50	707299.64	C++
nofto	2296	9	02.17.2015 11:27:50	711802.7	C++
nofto	2296	8	02.17.2015 11:25:46	704876.48	C++
nofto	2296	7	02.17.2015 10:11:17	799372.5	Java
nofto	2296	6	02.17.2015 09:59:01	799372.5	C++
nofto	2296	5	02.17.2015 08:57:26	699554.62	C++
nofto	2296	4	02.16.2015 07:07:33	688454.43	C++
nofto	2296	3	02.16.2015 04:37:08	595929.02	C++
nofto	2296	2	02.15.2015 18:10:23	571992.75	C++
nofto	2296	1	02.14.2015 19:03:48	36063.52	C++
wleite	2256	54	02.17.2015 17:36:59	833310.61	Java
wleite	2256	53	02.17.2015 17:34:08	818790.88	Java
wleite	2256	52	02.17.2015 16:55:12	818805.74	Java
wleite	2256	51	02.17.2015 16:19:04	822978.89	Java
wleite	2256	50	02.17.2015 16:15:06	803107.46	Java
wleite	2256	49	02.17.2015 15:39:45	826619.86	Java
wleite	2256	48	02.17.2015 15:38:33	812229.57	Java
wleite	2256	47	02.17.2015 14:01:38	829803.78	Java
wleite	2256	46	02.17.2015 13:58:26	818805.74	Java
wleite	2256	45	02.17.2015 13:32:34	822602.92	Java
wleite	2256	44	02.17.2015 13:25:51	825058.83	Java
wleite	2256	43	02.17.2015 13:10:43	823141.84	Java
wleite	2256	42	02.17.2015 13:08:25	825278.43	Java
wleite	2256	41	02.17.2015 13:06:56	805856.3	Java
wleite	2256	40	02.17.2015 13:00:50	804512.78	Java
wleite	2256	39	02.17.2015 12:57:31	825278.43	Java
wleite	2256	38	02.17.2015 12:48:11	824411.12	Java
wleite	2256	37	02.17.2015 12:46:57	816093.05	Java
wleite	2256	36	02.17.2015 12:18:03	824121.98	Java
wleite	2256	35	02.17.2015 12:16:15	815505.75	Java
wleite	2256	34	02.17.2015 12:08:33	824121.98	Java
wleite	2256	33	02.17.2015 12:06:35	823682.9	Java
wleite	2256	32	02.17.2015 11:35:10	823942.99	Java
wleite	2256	31	02.17.2015 11:33:13	822344.95	Java
wleite	2256	30	02.17.2015 10:56:17	823571.07	Java
wleite	2256	29	02.17.2015 10:54:43	815505.75	Java
wleite	2256	28	02.17.2015 09:41:18	812487.59	Java
wleite	2256	27	02.17.2015 09:38:08	811580.61	Java
wleite	2256	26	02.17.2015 08:34:06	808011.49	Java
wleite	2256	25	02.17.2015 02:22:33	813488.77	Java
wleite	2256	24	02.17.2015 02:20:46	810789.35	Java
wleite	2256	23	02.16.2015 23:25:42	821528.85	Java
wleite	2256	22	02.16.2015 23:24:08	815505.75	Java
wleite	2256	21	02.16.2015 22:38:43	813301.21	Java
wleite	2256	20	02.16.2015 22:36:58	808752.96	Java
wleite	2256	19	02.16.2015 21:21:45	819015.38	Java
wleite	2256	18	02.16.2015 21:18:03	818856.78	Java
wleite	2256	17	02.16.2015 20:27:32	807955.3	Java
wleite	2256	16	02.16.2015 20:25:47	800656.91	Java
wleite	2256	15	02.16.2015 20:21:05	806368.39	Java
wleite	2256	14	02.16.2015 20:19:21	807524.62	Java
wleite	2256	13	02.16.2015 19:38:07	809359.65	Java
wleite	2256	12	02.16.2015 19:09:43	810251.27	Java
wleite	2256	11	02.16.2015 17:31:07	814073.75	Java
wleite	2256	10	02.16.2015 14:44:39	811217.07	Java
wleite	2256	9	02.16.2015 14:27:53	811217.07	Java
wleite	2256	8	02.16.2015 12:27:09	805691.25	Java
wleite	2256	7	02.16.2015 09:35:09	807948.31	Java
wleite	2256	6	02.15.2015 19:15:07	805547.3	Java
wleite	2256	5	02.15.2015 16:34:15	758720.8	Java
wleite	2256	4	02.15.2015 02:32:01	809775.57	Java
wleite	2256	3	02.14.2015 18:50:09	812065.57	Java
wleite	2256	2	02.14.2015 16:46:26	772664.84	Java
wleite	2256	1	02.14.2015 14:37:08	794084.93	Java
tamas.kenez	1967	41	02.18.2015 12:57:21	817602.71	Java
tamas.kenez	1967	40	02.18.2015 12:34:40	784939.45	Java
tamas.kenez	1967	39	02.18.2015 12:30:33	806404.34	Java
tamas.kenez	1967	38	02.18.2015 12:29:19	806404.34	Java
tamas.kenez	1967	37	02.18.2015 11:12:51	817893.74	Java
tamas.kenez	1967	36	02.18.2015 10:40:17	773104.59	Java
tamas.kenez	1967	35	02.18.2015 10:38:26	792621.88	Java
tamas.kenez	1967	34	02.18.2015 10:35:13	777130.01	Java
tamas.kenez	1967	33	02.18.2015 10:17:05	817893.74	Java
tamas.kenez	1967	32	02.18.2015 10:10:10	779927.13	Java
tamas.kenez	1967	31	02.18.2015 09:43:47	778479.09	Java
tamas.kenez	1967	30	02.18.2015 09:06:43	782581.45	Java
tamas.kenez	1967	29	02.18.2015 08:09:25	763813.52	Java
tamas.kenez	1967	28	02.18.2015 04:06:21	817893.74	Java
tamas.kenez	1967	27	02.18.2015 04:04:01	701940.09	Java
tamas.kenez	1967	26	02.17.2015 23:07:00	817893.74	Java
tamas.kenez	1967	25	02.17.2015 23:05:20	813000.23	Java
tamas.kenez	1967	24	02.17.2015 23:03:19	817602.71	Java
tamas.kenez	1967	23	02.17.2015 22:30:47	812153.71	Java
tamas.kenez	1967	22	02.17.2015 22:28:51	805533.06	Java
tamas.kenez	1967	21	02.17.2015 22:15:22	813888.68	Java
tamas.kenez	1967	20	02.17.2015 21:15:52	770312.87	Java
tamas.kenez	1967	19	02.17.2015 20:33:01	800599.29	Java
tamas.kenez	1967	18	02.17.2015 20:31:39	802112.18	Java
tamas.kenez	1967	17	02.17.2015 14:15:29	806404.34	Java
tamas.kenez	1967	16	02.17.2015 14:13:30	658553.52	Java
tamas.kenez	1967	15	02.17.2015 14:11:39	763724.03	Java
tamas.kenez	1967	14	02.17.2015 14:10:02	763812.01	Java
tamas.kenez	1967	13	02.17.2015 06:17:44	773694.99	Java
tamas.kenez	1967	12	02.17.2015 05:33:46	701930.24	Java
tamas.kenez	1967	11	02.17.2015 05:26:10	661553.5	Java
tamas.kenez	1967	10	02.16.2015 19:48:17	806404.34	Java
tamas.kenez	1967	9	02.16.2015 19:41:26	792513.33	Java
tamas.kenez	1967	8	02.16.2015 16:29:48	707223.21	Java
tamas.kenez	1967	7	02.16.2015 15:40:55	759026.63	Java
tamas.kenez	1967	6	02.16.2015 15:07:11	778897.95	Java
